Technique,Target,Model,MAPE,RMSE
TFIDF,PartCosts,Gradient Boosting Regressor,1.4262472689581058,1.0125946895781495
TFIDF,PartCosts,AdaBoost Regressor,1.110537198188864,1.0049236303249398
TFIDF,PartCosts,K-Nearest Neighbors Regressor,2.181402268485077,1.1037586872443188
TFIDF,PartCosts,Support Vector Regressor,2.7620811830364853,1.0407032923783168
TFIDF,PartCosts,MLP Regressor,10.90171202217682,1.3920149887917659
TFIDF,PartCosts,XGBoost Regressor,5.0877485786439305,1.0947601008935013
TFIDF,PartCosts,LGBM Regressor,1.812177919262656,1.0423869053264867
TFIDF,LaborHours,Linear Regression,1.202127946598797,1.0286578237069053
TFIDF,LaborHours,Ridge Regression,1.249523580120596,1.0277889104202211
TFIDF,LaborHours,Lasso Regression,1.0004401844887398,1.003531432775669
TFIDF,LaborHours,ElasticNet,1.0004401844887398,1.003531432775669
TFIDF,LaborHours,Decision Tree Regressor,2.801323923127127,1.4105684543981734
TFIDF,LaborHours,Random Forest Regressor,1.2177725582624583,1.0343368828793265
TFIDF,LaborHours,Extra Trees Regressor,1.631362779707119,1.0767337393748067
TFIDF,LaborHours,Gradient Boosting Regressor,1.1567381818320333,1.0214935310974473
TFIDF,LaborHours,AdaBoost Regressor,1.0050626564017908,1.003127163455265
TFIDF,LaborHours,K-Nearest Neighbors Regressor,1.7329900814337176,1.1201028692248496
TFIDF,LaborHours,Support Vector Regressor,1.4187040774675825,1.0670907177654128
TFIDF,LaborHours,MLP Regressor,2.882665977205532,1.4228431756676039
TFIDF,LaborHours,XGBoost Regressor,1.7434825702540588,1.0968618025882955
TFIDF,LaborHours,LGBM Regressor,1.3743079328377275,1.051596750854408
gensim word embeddings,PartCosts,Linear Regression,1.6802161106816953,1.0434600135700207
gensim word embeddings,PartCosts,Ridge Regression,1.9171294490599944,1.0141335438524601
gensim word embeddings,PartCosts,Lasso Regression,1.0659771153160569,1.00543978572508
gensim word embeddings,PartCosts,ElasticNet,1.0659771153160569,1.00543978572508
gensim word embeddings,PartCosts,Decision Tree Regressor,14.296002905372593,1.4067339693088645
gensim word embeddings,PartCosts,Random Forest Regressor,2.5367140826185426,1.0174881445175312
gensim word embeddings,PartCosts,Extra Trees Regressor,2.315122082898454,1.023777170438036
gensim word embeddings,PartCosts,Gradient Boosting Regressor,1.2952218908595405,1.0193204046095385
gensim word embeddings,PartCosts,AdaBoost Regressor,1.0585669659008508,1.0034670042920568
gensim word embeddings,PartCosts,K-Nearest Neighbors Regressor,2.8693141371444075,1.0730281262448338
gensim word embeddings,PartCosts,Support Vector Regressor,2.2727746418028865,1.020754071438081
gensim word embeddings,PartCosts,MLP Regressor,2.9944324879855673,1.1986237871835301
gensim word embeddings,PartCosts,XGBoost Regressor,5.03400893608827,1.1161750376455766
gensim word embeddings,PartCosts,LGBM Regressor,1.9493016485587853,1.0442698715230585
gensim word embeddings,LaborHours,Linear Regression,1.5070708064056413,1.0572454085149234
gensim word embeddings,LaborHours,Ridge Regression,1.2334518734392688,1.0257992418196007
gensim word embeddings,LaborHours,Lasso Regression,1.0004401844887398,1.003531432775669
gensim word embeddings,LaborHours,ElasticNet,1.0004401844887398,1.003531432775669
gensim word embeddings,LaborHours,Decision Tree Regressor,2.980492919718832,1.4565779289759506
gensim word embeddings,LaborHours,Random Forest Regressor,1.2112810165862566,1.0267860147433936
gensim word embeddings,LaborHours,Extra Trees Regressor,1.3052364590508092,1.036897377113366
gensim word embeddings,LaborHours,Gradient Boosting Regressor,1.159165669544748,1.0299636296318746
gensim word embeddings,LaborHours,AdaBoost Regressor,1.0167353820336913,1.0034553663366559
gensim word embeddings,LaborHours,K-Nearest Neighbors Regressor,1.6876157645130057,1.085716995675672
